Date,open,high,low,close,volume,adjclose
17/4/2019,137.3699951,141.9799957,136.2599945,139.1100006,12525700,134.2899017
18/4/2019,139,140.4900055,138.6999969,140.3300018,4960000,135.4676208
22/4/2019,139.4199982,140.5599976,138.4799957,138.8899994,4494000,134.0775146
23/4/2019,139.1499939,140.9199982,138.9400024,140.4400024,4462200,135.5738068
24/4/2019,140.6000061,141.3099976,139.7799988,139.9499969,2774900,135.100769
25/4/2019,139.6999969,139.75,137.7100067,138.6300049,2910100,133.8265228
26/4/2019,139.3399963,139.8899994,138.8099976,139.4400024,2319800,134.6084595
29/4/2019,139.1499939,139.6300049,138.8099976,139.0500031,2958300,134.2319794
30/4/2019,139.1100006,140.4400024,138.6799927,140.2700043,4638800,135.4096985
1/5/2019,140.5500031,141.8099976,140.1699982,140.5599976,3053700,135.6896362
2/5/2019,140.5,141.2799988,139.4100037,139.5899963,3541400,134.7532501
3/5/2019,139.6999969,141,139.6300049,140.25,2579900,135.3903961
6/5/2019,138.3000031,140.6900024,137.8999939,140.3800049,2793300,135.5158844
7/5/2019,139.1499939,139.5099945,136.1900024,137.6399994,4726800,132.8708344
8/5/2019,137.7700043,138.6999969,137.1300049,138,3818900,133.2183533
9/5/2019,134.8899994,135.5800018,133.0299988,135.3399963,4192700,132.2024536
10/5/2019,134.8800049,135.75,132.4199982,135.3200073,3977600,132.1829376
13/5/2019,133.2799988,133.5700073,130.9600067,131.4199982,4958000,128.3733368
14/5/2019,131.8200073,134.3200073,131.6799927,133.3099976,3280400,130.2195129
15/5/2019,132.5899963,134.5899963,132.3699951,134.3999939,2551000,131.2842407
16/5/2019,134.7400055,136.1100006,134.6399994,135.8800049,3017300,132.72995
17/5/2019,134.6799927,135.4100037,133.9400024,134.3200073,2619100,131.2061157
20/5/2019,133.5299988,135.4299927,132.9299927,135.1199951,3264500,131.9875641
21/5/2019,136.1199951,137.0599976,135.7899933,136.4499969,2503500,133.2867279
22/5/2019,136,136.75,135.7100067,136.3500061,1849800,133.1890564
23/5/2019,135.1300049,135.1300049,130.4400024,132.3899994,5343400,129.3208466
24/5/2019,133.5299988,134.25,131.5899963,132.2799988,2596100,129.2133942
28/5/2019,132.1300049,132.6399994,130.2700043,130.4600067,4908800,127.4356079
29/5/2019,130,130.2799988,128.3200073,129.6900024,3679000,126.6834488
30/5/2019,129.7400055,129.9700012,128.9299927,129.5700073,2741900,126.5662231
31/5/2019,128.4400024,128.4400024,126.8499985,126.9899979,3539300,124.0460281
3/6/2019,127.0999985,128.5599976,127.0599976,128.2700043,4266900,125.2963638
4/6/2019,129.5599976,132.7400055,129.0899963,132.6900024,3913500,129.6139069
5/6/2019,133.3800049,133.6100006,130.4700012,131.4900055,3161300,128.4417267
6/6/2019,132.1900024,132.6499939,130.8999939,132.2200012,2298200,129.1547852
7/6/2019,132.4700012,134.7200012,132.2100067,133.3099976,2553400,130.2195129
10/6/2019,134.3800049,135.3500061,133.9100037,134.7400055,2911300,131.6163635
11/6/2019,135.3200073,136.4600067,135.0500031,135.9499969,3407300,132.7983246
12/6/2019,135.5599976,135.9400024,134.4100037,134.8699951,2254700,131.7433472
13/6/2019,135.1300049,136.2700043,135.0899963,135.7599945,2955300,132.6127167
14/6/2019,135.4400024,135.8800049,134.4299927,135.1499939,2193300,132.016861
17/6/2019,135.3899994,136.0299988,134.6999969,134.9499969,2194100,131.8215027
18/6/2019,135.1999969,137.1900024,135.1999969,136.3800049,2914700,133.2183533
19/6/2019,136.4299927,138.3600006,136.2400055,137.0800018,2382400,133.9021149
20/6/2019,138.9299927,139.5399933,138.1999969,138.8500061,3071000,135.6310883
21/6/2019,138.4400024,139.5399933,138.3899994,139.1999969,5288700,135.9729614
24/6/2019,139.1999969,140.1499939,139.0500031,139.3500061,2186000,136.1195068
25/6/2019,139.4600067,139.5500031,138.1300049,138.3600006,2801200,135.1524506
26/6/2019,138.8699951,139.6799927,138.4100037,138.5200043,2284600,135.3087463
27/6/2019,138.7200012,139.3000031,137.9499969,138.5200043,2149800,135.3087463
28/6/2019,138.5700073,139.1399994,137.8399963,137.8999939,6153900,134.7031097
1/7/2019,139.6000061,141.4900055,139.2799988,139.8800049,3377700,136.637207
2/7/2019,139.75,140.4299927,139.4700012,140.2200012,2409700,136.9693298
3/7/2019,140.7200012,141.8200073,140.4299927,141.5399933,1930400,138.2587128
5/7/2019,140.8699951,141.4900055,139.9100037,141.3800049,2134700,138.1024475
8/7/2019,141.0500031,141.2899933,140.2700043,140.5700073,2395300,137.3112183
9/7/2019,140.6100006,140.9900055,139.1300049,139.3300018,3365200,136.0999603
10/7/2019,140,141.9100037,139.7899933,140.4700012,2513900,137.2135315
11/7/2019,140.7899933,141.5800018,140.3000031,141.2400055,2132900,137.9656982
12/7/2019,141.9199982,142.9199982,141.6600037,142.7400055,2786200,139.4309082
15/7/2019,142.8899994,143.5099945,142.1199951,143.3200073,2368300,139.9974823
16/7/2019,143.1699982,144.0399933,143.0200043,143.5299988,3474700,140.2025909
17/7/2019,143.6100006,143.8000031,141.9499969,143.0700073,6064300,139.7532654
18/7/2019,142.5,150.3099976,142.1999969,149.6300049,12692600,146.1611786
19/7/2019,149.9600067,151.5800018,149.5500031,149.6799927,7290700,146.2100067
22/7/2019,150.1600037,151.9400024,149.6999969,149.7400055,4092600,146.268631
23/7/2019,150.5700073,150.7200012,148.3800049,150.3800049,3742200,146.8937988
24/7/2019,150.1199951,151.4499969,149.1999969,150.0299988,2952400,146.5518951
25/7/2019,149.8200073,150.6199951,148.6100006,150.3899994,3102100,146.9035645
26/7/2019,151,151.4100037,150.1000061,151.3600006,2904300,147.8510742
29/7/2019,151.1100006,151.4799957,150.3200073,150.8800049,2075500,147.3822021
30/7/2019,150,150.3999939,149.2200012,149.7700043,2632700,146.2979431
31/7/2019,149.6999969,150.1799927,146.3899994,148.2400055,3722900,144.803421
1/8/2019,148.8999939,152.8200073,148.5,150.3200073,6344000,146.8351898
2/8/2019,149.0299988,152.9499969,145.5899963,147.25,8101700,143.8363495
5/8/2019,144.9799957,145.1000061,139.1499939,140.7599945,7114900,137.4968109
6/8/2019,142.0299988,142.4700012,139.3099976,140.7299957,5070700,137.4674988
7/8/2019,138.7400055,139.5800018,136.4100037,139.1100006,5931900,135.8850555
8/8/2019,138.4499969,140.4199982,137.7599945,140.1000061,5261100,138.4645996
9/8/2019,139.2700043,139.3099976,135.3500061,136.1300049,5244600,134.5409393
12/8/2019,135.6600037,135.8699951,133.1799927,133.6699982,4083900,132.1096497
13/8/2019,133.8000031,136.5700073,132.8099976,135.7899933,4522100,134.204895
14/8/2019,133.9100037,134.1600037,130.9799957,131.25,5114200,129.7178955
15/8/2019,131.2200012,132.3699951,130.25,131.9199982,3738900,130.3800812
16/8/2019,133.0399933,134.5899963,132.9499969,133.7599945,3012000,132.1985931
19/8/2019,134.8800049,136.3300018,134.8800049,135.0399933,3165100,133.4636536
20/8/2019,135.2400055,135.2799988,132.8099976,133,3018600,131.447464
21/8/2019,134.9600067,135.9400024,133.8000031,134.25,2805700,132.6828766
22/8/2019,134.6900024,135.6799927,133.8099976,134.3200073,2694900,132.7520752
23/8/2019,133.6300049,134.2599945,128.8300018,129.5700073,4818400,128.0575104
26/8/2019,131.0500031,131.3000031,129.1600037,129.9900055,2833900,128.4726105
27/8/2019,131.1999969,131.6999969,130.3099976,131.1699982,4728000,129.6388245
28/8/2019,130.4400024,132.8899994,130.0399933,132.7599945,2713600,131.2102661
29/8/2019,134.1799927,135.6900024,134.0399933,134.8800049,2971800,133.3055267
30/8/2019,135.5800018,136.0700073,134.3600006,135.5299988,2960600,133.947937
3/9/2019,134.8500061,134.8999939,133.3300018,134.1000061,2827900,132.5346375
4/9/2019,135.7100067,136.4299927,135.1499939,136.3200073,2247900,134.7287292
5/9/2019,138.3000031,141.6999969,138.0500031,140.9700012,5011600,139.3244324
6/9/2019,141.5200043,141.5299988,140.4600067,140.5700073,2576800,138.9291077
9/9/2019,140.5899963,143.0200043,140.4600067,142.6000061,4226600,140.9354095
10/9/2019,143,145.4600067,142.9600067,145.0500031,4979700,143.3568115
11/9/2019,144.8500061,145.1199951,142.7100067,143.6000061,3869700,141.9237366
12/9/2019,144.0299988,144.0399933,141.8800049,143.6199951,2505400,141.9434967
13/9/2019,144.3200073,144.6499939,143.2599945,143.6699982,2206600,141.9929199
16/9/2019,142.5599976,143.6399994,142.2700043,142.4799957,1928500,140.816803
17/9/2019,142.4799957,142.4799957,140.6600037,142.1999969,2933200,140.5400696
18/9/2019,142.0500031,142.3000031,140.5099945,142.2200012,1983600,140.559845
19/9/2019,142.4600067,145.0299988,142.4499969,142.9700012,3089900,141.3010864
20/9/2019,143.25,143.8300018,141.8200073,141.8800049,5193400,140.2238159
23/9/2019,141.1900024,142.2200012,140.5599976,142.0700073,1817900,140.4116058
24/9/2019,142.5,142.8899994,141.0700073,141.6799927,3231600,140.0261383
25/9/2019,141.7400055,143.6300049,140.8600006,143.1600037,2526700,141.4888763
26/9/2019,143.1699982,143.8800049,141.4100037,143.5500031,2309800,141.8743286
27/9/2019,144.4100037,145.0899963,142.3800049,143.2400055,2356800,141.5679474
30/9/2019,143.7299957,146.5700073,143.7299957,145.4199982,3988400,143.7224884
1/10/2019,145.5899963,147.3500061,143.5399933,143.6600037,2960800,141.9830322
2/10/2019,142.1900024,142.2700043,140.5700073,141.6900024,3340800,140.036026
3/10/2019,141.6199951,142.0700073,139.1799927,142.0200043,2928800,140.3621826
4/10/2019,142.0599976,143.0599976,141.0299988,142.9900055,2413600,141.3208618
7/10/2019,142.2599945,142.6999969,141.2200012,141.2799988,2426500,139.6308136
8/10/2019,140.2400055,140.4700012,138.25,138.3800049,3225400,136.764679
9/10/2019,139.7700043,140.3300018,138.7899933,139.6699982,2620800,138.0396118
10/10/2019,139.7700043,141.7799988,139.5599976,141.1300049,2593700,139.4825745
11/10/2019,142.7700043,144.5,142.6100006,142.7599945,2996800,141.0935364
14/10/2019,142.3099976,142.4299927,141.3200073,142.0399933,2309500,140.3819427
15/10/2019,142.5399933,143.7200012,141.8099976,143,3025500,141.3307343
16/10/2019,142.4900055,142.9499969,141.3899994,142.1100006,5332600,140.4511261
17/10/2019,135,136,132.9100037,134.2599945,15759800,132.6927643
18/10/2019,134.2200012,134.4900055,132.25,134.0899963,7177500,132.5247498
21/10/2019,132.6100006,133.1000061,130.8999939,132.5800018,6306100,131.0323792
22/10/2019,132.5500031,134.0500031,131.6100006,133.9600067,4161600,132.3962708
23/10/2019,133.5200043,134.5700073,132.6999969,134.3800049,3610900,132.8113708
