URL,name
http://www.xbiquge.la/0/566/,武道至尊
http://www.xbiquge.la/22/22525/,剑域神帝
http://www.xbiquge.la/14/14722/,盖世帝尊
http://www.xbiquge.la/2/2435/,武神之路
http://www.xbiquge.la/23/23811/,一剑独尊
http://www.xbiquge.la/7/7907/,九星霸体诀
http://www.xbiquge.la/40/40060/,随身带个抽奖面板
http://www.xbiquge.la/8/8226/,通天武尊
http://www.xbiquge.la/15/15053/,平天策
http://www.xbiquge.la/21/21686/,惊天剑帝
http://www.xbiquge.la/13/13970/,重生西游之天篷妖尊
http://www.xbiquge.la/14/14600/,异能小神农
http://www.xbiquge.la/6/6884/,龙血武帝
http://www.xbiquge.la/35/35657/,超神道术
http://www.xbiquge.la/21/21549/,永恒圣帝
http://www.xbiquge.la/0/6/,混沌天体
http://www.xbiquge.la/0/605/,无敌天下
http://www.xbiquge.la/14/14528/,战神狂飙
http://www.xbiquge.la/0/328/,三界独尊
http://www.xbiquge.la/23/23760/,终极小村医
http://www.xbiquge.la/13/13594/,武神
http://www.xbiquge.la/15/15124/,美利坚财富人生
http://www.xbiquge.la/0/121/,九龙至尊
http://www.xbiquge.la/1/1219/,太古神王
http://www.xbiquge.la/14/14688/,帝国重器
http://www.xbiquge.la/22/22737/,重生商纣王
http://www.xbiquge.la/26/26050/,超级兵王俏总裁
http://www.xbiquge.la/22/22213/,神武战王
http://www.xbiquge.la/14/14480/,养鬼为祸(劫天运)
http://www.xbiquge.la/15/15191/,禁域
http://www.xbiquge.la/15/15639/,神道丹尊
http://www.xbiquge.la/0/74/,无上至尊
http://www.xbiquge.la/24/24309/,映照万界
http://www.xbiquge.la/14/14791/,万域灵神
http://www.xbiquge.la/8/8331/,修罗武神
http://www.xbiquge.la/8/8021/,吞天记
http://www.xbiquge.la/24/24946/,绝代名师
http://www.xbiquge.la/14/14669/,超级鉴宝师
http://www.xbiquge.la/2/2617/,异世无冕邪皇
http://www.xbiquge.la/20/20780/,至尊瞳术师：绝世大小姐
http://www.xbiquge.la/1/1710/,斗罗大陆
http://www.xbiquge.la/7/7922/,琴帝
http://www.xbiquge.la/3/3112/,生生不灭
http://www.xbiquge.la/3/3778/,轮回武典
http://www.xbiquge.la/0/698/,武神天下
http://www.xbiquge.la/31/31021/,神级基地
http://www.xbiquge.la/1/1699/,异界艳修
http://www.xbiquge.la/32/32794/,恶魔果实供货商
http://www.xbiquge.la/14/14862/,进化之眼
http://www.xbiquge.la/10/10588/,箭魔
http://www.xbiquge.la/15/15099/,圣武星辰
http://www.xbiquge.la/15/15372/,丹师剑宗
http://www.xbiquge.la/14/14707/,超维术士
http://www.xbiquge.la/0/47/,异世傲天
http://www.xbiquge.la/36/36810/,斗武乾坤
http://www.xbiquge.la/0/210/,无尽丹田
http://www.xbiquge.la/0/422/,盖世战神
http://www.xbiquge.la/23/23608/,我家后门通洪荒
http://www.xbiquge.la/3/3156/,一品武神
http://www.xbiquge.la/13/13914/,紫阳帝尊
http://www.xbiquge.la/15/15500/,神级大魔头
http://www.xbiquge.la/23/23231/,龙神至尊
http://www.xbiquge.la/14/14675/,魔法种族大穿越
http://www.xbiquge.la/0/44/,惟我神尊
http://www.xbiquge.la/0/131/,雷武
http://www.xbiquge.la/0/593/,不败升级
http://www.xbiquge.la/14/14672/,这个天国不太平
http://www.xbiquge.la/29/29465/,最强升级系统
http://www.xbiquge.la/19/19664/,万古之王
http://www.xbiquge.la/15/15049/,刀镇星河
http://www.xbiquge.la/33/33509/,极拳暴君
http://www.xbiquge.la/19/19632/,无敌神龙养成系统
http://www.xbiquge.la/14/14963/,美女总裁的最强高手
http://www.xbiquge.la/2/2198/,九重天前传之烈火焚情
http://www.xbiquge.la/0/322/,皇牌龙骑
http://www.xbiquge.la/0/165/,九阳帝尊
http://www.xbiquge.la/23/23696/,武傲九霄
http://www.xbiquge.la/0/295/,傲剑天穹
http://www.xbiquge.la/21/21561/,剑主八荒
http://www.xbiquge.la/34/34373/,都市之至尊军主
http://www.xbiquge.la/14/14663/,巅峰小农民
http://www.xbiquge.la/11/11559/,太初
http://www.xbiquge.la/2/2398/,人皇
http://www.xbiquge.la/22/22146/,无限升级之最强武魂
